ID,ID_przejazdu,Data,Godzina,Miejsce,Typ,Odchyl_od_poprawnej_wartosci
26,255,2001-05-18 00:00:01,01:03,303,Jazda na zbyt wysokich obrotach,2000
27,887,2001-01-05 00:00:01,16:34,817,Parking w niedozwolonym miejscu,1
28,211,2001-04-22 00:00:01,13:32,962,Przekroczenie predkosci,40
29,312,2001-03-31 00:00:01,17:15,753,Parking w niedozwolonym miejscu,1
30,671,2001-02-17 00:00:01,08:13,126,Gwaltowne hamowanie,1
31,352,2001-02-04 00:00:01,06:13,652,Nieprzepisowa zmiana pasa ruchu,1
32,654,2001-02-10 00:00:01,12:08,182,Przekroczenie predkosci,20
33,73,2001-02-16 00:00:01,15:36,960,Parking w niedozwolonym miejscu,1
34,697,2001-05-21 00:00:01,09:29,82,Jazda na zbyt wysokich obrotach,2500
35,494,2001-05-25 00:00:01,02:42,166,Niedostosowanie sie do znaku nakazu/zakazu,1
36,564,2001-05-18 00:00:01,08:09,952,Niedostosowanie sie do znaku nakazu/zakazu,1
37,569,2001-03-15 00:00:01,20:19,345,Jazda na zbyt wysokich obrotach,1500
38,776,2001-03-26 00:00:01,03:10,190,Jazda na zbyt wysokich obrotach,1500
39,605,2001-04-26 00:00:01,07:30,157,Przekroczenie predkosci,40
40,92,2001-04-16 00:00:01,11:43,59,Przekroczenie predkosci,30
41,507,2001-05-16 00:00:01,11:20,167,Niedostosowanie sie do znaku nakazu/zakazu,1
42,365,2001-03-23 00:00:01,04:19,999,Przekroczenie predkosci,30
43,403,2001-04-30 00:00:01,13:16,284,Parking w niedozwolonym miejscu,1
44,298,2001-04-24 00:00:01,03:23,613,Parking w niedozwolonym miejscu,1
45,311,2001-01-13 00:00:01,18:44,771,Niedostosowanie sie do znaku nakazu/zakazu,1
46,936,2001-04-12 00:00:01,06:17,599,Parking w niedozwolonym miejscu,1
47,209,2001-01-06 00:00:01,15:34,551,Gwaltowne hamowanie,1
48,599,2001-01-15 00:00:01,04:38,25,Gwaltowne hamowanie,1
49,658,2001-03-28 00:00:01,13:21,494,Gwaltowne hamowanie,1
50,58,2001-02-27 00:00:01,11:34,47,Jazda na zbyt wysokich obrotach,3000
51,720,2001-04-26 00:00:01,07:39,599,Niedostosowanie sie do znaku nakazu/zakazu,1
52,50,2001-05-18 00:00:01,19:29,494,Jazda na zbyt wysokich obrotach,2500
53,517,2001-02-03 00:00:01,15:33,63,Przekroczenie predkosci,30
54,839,2001-04-19 00:00:01,11:33,573,Nieprzepisowa zmiana pasa ruchu,1
55,504,2001-03-21 00:00:01,02:17,680,Przekroczenie predkosci,10
56,520,2001-03-25 00:00:01,22:06,243,Niedostosowanie sie do znaku nakazu/zakazu,1
57,193,2001-05-11 00:00:01,09:28,713,Nieprzepisowa zmiana pasa ruchu,1
58,24,2001-01-18 00:00:01,18:00,837,Parking w niedozwolonym miejscu,1
59,354,2001-04-18 00:00:01,00:28,313,Gwaltowne hamowanie,1
60,237,2001-03-06 00:00:01,19:49,750,Niedostosowanie sie do znaku nakazu/zakazu,1
61,542,2001-03-30 00:00:01,09:24,647,Jazda na zbyt wysokich obrotach,1000
62,274,2001-05-20 00:00:01,09:21,286,Gwaltowne hamowanie,1
63,502,2001-01-10 00:00:01,06:45,527,Niedostosowanie sie do znaku nakazu/zakazu,1
64,692,2001-05-27 00:00:01,15:49,124,Gwaltowne hamowanie,1
65,9,2001-02-02 00:00:01,22:00,691,Przekroczenie predkosci,20
66,234,2001-05-09 00:00:01,06:21,693,Parking w niedozwolonym miejscu,1
67,527,2001-04-13 00:00:01,00:12,131,Nieprzepisowa zmiana pasa ruchu,1
68,866,2001-05-28 00:00:01,00:23,536,Parking w niedozwolonym miejscu,1
69,212,2001-05-31 00:00:01,12:12,656,Przekroczenie predkosci,30
70,537,2001-01-25 00:00:01,21:24,166,Przekroczenie predkosci,30
71,355,2001-05-29 00:00:01,00:49,297,Parking w niedozwolonym miejscu,1
72,915,2001-05-31 00:00:01,21:45,931,Parking w niedozwolonym miejscu,1
73,455,2001-03-04 00:00:01,18:20,150,Jazda na zbyt wysokich obrotach,1000
74,911,2001-01-06 00:00:01,09:32,118,Nieprzepisowa zmiana pasa ruchu,1
75,572,2001-04-26 00:00:01,17:50,585,Nieprzepisowa zmiana pasa ruchu,1
76,283,2001-01-01 00:00:01,14:13,943,Niedostosowanie sie do znaku nakazu/zakazu,1
77,304,2001-05-03 00:00:01,21:22,33,Parking w niedozwolonym miejscu,1
78,110,2001-01-04 00:00:01,04:31,853,Jazda na zbyt wysokich obrotach,2000
79,275,2001-05-11 00:00:01,18:03,888,Przekroczenie predkosci,30
80,177,2001-01-06 00:00:01,17:54,492,Nieprzepisowa zmiana pasa ruchu,1
81,667,2001-05-24 00:00:01,09:32,643,Niedostosowanie sie do znaku nakazu/zakazu,1
82,244,2001-03-27 00:00:01,03:07,893,Gwaltowne hamowanie,1
83,479,2001-05-14 00:00:01,04:07,721,Gwaltowne hamowanie,1
84,312,2001-03-23 00:00:01,07:51,345,Nieprzepisowa zmiana pasa ruchu,1
85,882,2001-05-14 00:00:01,02:53,587,Niedostosowanie sie do znaku nakazu/zakazu,1
86,640,2001-04-11 00:00:01,06:32,523,Jazda na zbyt wysokich obrotach,2000
87,43,2001-05-05 00:00:01,23:45,549,Parking w niedozwolonym miejscu,1
88,16,2001-04-07 00:00:01,23:22,109,Niedostosowanie sie do znaku nakazu/zakazu,1
89,532,2001-05-04 00:00:01,16:02,242,Gwaltowne hamowanie,1
90,36,2001-03-06 00:00:01,02:03,13,Gwaltowne hamowanie,1
91,117,2001-05-31 00:00:01,23:15,516,Przekroczenie predkosci,10
92,141,2001-03-06 00:00:01,13:36,250,Niedostosowanie sie do znaku nakazu/zakazu,1
93,739,2001-04-23 00:00:01,19:32,681,Nieprzepisowa zmiana pasa ruchu,1
94,718,2001-04-17 00:00:01,22:18,144,Niedostosowanie sie do znaku nakazu/zakazu,1
95,817,2001-01-12 00:00:01,05:28,206,Jazda na zbyt wysokich obrotach,3000
96,344,2001-03-12 00:00:01,01:49,120,Jazda na zbyt wysokich obrotach,2500
97,953,2001-01-14 00:00:01,15:27,854,Przekroczenie predkosci,30
98,209,2001-04-02 00:00:01,23:55,765,Gwaltowne hamowanie,1
99,631,2001-01-06 00:00:01,19:36,302,Jazda na zbyt wysokich obrotach,2000
100,416,2001-04-22 00:00:01,22:24,520,Gwaltowne hamowanie,1
101,393,2001-02-17 00:00:01,06:38,825,Gwaltowne hamowanie,1
102,595,2001-02-06 00:00:01,09:04,487,Gwaltowne hamowanie,1
103,804,2001-01-17 00:00:01,16:40,97,Przekroczenie predkosci,20
104,196,2001-04-05 00:00:01,04:56,19,Przekroczenie predkosci,10
105,246,2001-03-07 00:00:01,06:27,509,Gwaltowne hamowanie,1
106,569,2001-03-27 00:00:01,12:36,696,Nieprzepisowa zmiana pasa ruchu,1
107,204,2001-01-17 00:00:01,09:08,321,Nieprzepisowa zmiana pasa ruchu,1
108,166,2001-02-10 00:00:01,13:30,765,Gwaltowne hamowanie,1
109,541,2001-01-02 00:00:01,03:55,408,Parking w niedozwolonym miejscu,1
110,666,2001-02-02 00:00:01,15:43,80,Gwaltowne hamowanie,1
111,185,2001-03-08 00:00:01,21:57,901,Gwaltowne hamowanie,1
112,593,2001-01-22 00:00:01,03:03,911,Gwaltowne hamowanie,1
113,724,2001-02-19 00:00:01,00:22,586,Niedostosowanie sie do znaku nakazu/zakazu,1
114,223,2001-02-13 00:00:01,21:06,869,Parking w niedozwolonym miejscu,1
115,345,2001-01-13 00:00:01,06:31,917,Niedostosowanie sie do znaku nakazu/zakazu,1
116,882,2001-01-03 00:00:01,16:22,412,Gwaltowne hamowanie,1
117,772,2001-04-04 00:00:01,04:25,336,Przekroczenie predkosci,50
118,622,2001-05-16 00:00:01,07:07,345,Gwaltowne hamowanie,1
119,551,2001-03-28 00:00:01,01:41,737,Jazda na zbyt wysokich obrotach,2000
120,561,2001-03-14 00:00:01,19:05,789,Niedostosowanie sie do znaku nakazu/zakazu,1
121,432,2001-04-13 00:00:01,02:56,427,Przekroczenie predkosci,20
122,29,2001-03-15 00:00:01,10:14,365,Gwaltowne hamowanie,1
123,945,2001-01-30 00:00:01,17:02,358,Jazda na zbyt wysokich obrotach,1000
124,764,2001-04-26 00:00:01,13:46,180,Jazda na zbyt wysokich obrotach,3000
125,530,2001-04-13 00:00:01,17:10,861,Parking w niedozwolonym miejscu,1
126,590,2001-03-14 00:00:01,08:52,747,Nieprzepisowa zmiana pasa ruchu,1
127,976,2001-01-01 00:00:01,03:33,71,Nieprzepisowa zmiana pasa ruchu,1
128,440,2001-03-14 00:00:01,10:14,749,Przekroczenie predkosci,40
129,872,2001-04-25 00:00:01,15:42,455,Gwaltowne hamowanie,1
130,251,2001-06-04 00:00:01,02:55,359,Parking w niedozwolonym miejscu,1
131,316,2001-04-16 00:00:01,19:24,500,Niedostosowanie sie do znaku nakazu/zakazu,1
132,577,2001-02-28 00:00:01,04:41,166,Gwaltowne hamowanie,1
133,59,2001-01-10 00:00:01,05:38,329,Nieprzepisowa zmiana pasa ruchu,1
134,654,2001-02-23 00:00:01,14:56,150,Gwaltowne hamowanie,1
135,27,2001-03-19 00:00:01,18:16,715,Jazda na zbyt wysokich obrotach,3000
136,239,2001-03-28 00:00:01,12:31,808,Niedostosowanie sie do znaku nakazu/zakazu,1
137,763,2001-04-21 00:00:01,09:50,138,Nieprzepisowa zmiana pasa ruchu,1
138,603,2001-02-27 00:00:01,09:35,370,Niedostosowanie sie do znaku nakazu/zakazu,1
139,215,2001-01-26 00:00:01,12:19,669,Parking w niedozwolonym miejscu,1
140,980,2001-05-19 00:00:01,13:33,988,Jazda na zbyt wysokich obrotach,3000
141,318,2001-05-26 00:00:01,01:41,369,Przekroczenie predkosci,10
142,885,2001-04-28 00:00:01,03:35,973,Gwaltowne hamowanie,1
143,750,2001-04-17 00:00:01,22:35,805,Gwaltowne hamowanie,1
144,424,2001-01-15 00:00:01,21:10,25,Przekroczenie predkosci,20
145,577,2001-02-18 00:00:01,07:51,178,Niedostosowanie sie do znaku nakazu/zakazu,1
146,424,2001-02-10 00:00:01,18:36,239,Nieprzepisowa zmiana pasa ruchu,1
147,314,2001-03-11 00:00:01,18:21,671,Przekroczenie predkosci,30
148,727,2001-02-05 00:00:01,12:41,292,Jazda na zbyt wysokich obrotach,1000
149,210,2001-04-23 00:00:01,20:03,980,Gwaltowne hamowanie,1
150,453,2001-04-09 00:00:01,20:25,364,Jazda na zbyt wysokich obrotach,2500
151,828,2001-04-04 00:00:01,16:17,439,Niedostosowanie sie do znaku nakazu/zakazu,1
152,429,2001-05-22 00:00:01,15:09,634,Niedostosowanie sie do znaku nakazu/zakazu,1
153,340,2001-03-25 00:00:01,07:35,787,Przekroczenie predkosci,10
154,482,2001-03-04 00:00:01,23:05,681,Niedostosowanie sie do znaku nakazu/zakazu,1
155,764,2001-03-24 00:00:01,19:25,69,Jazda na zbyt wysokich obrotach,2000
156,61,2001-01-17 00:00:01,10:03,918,Nieprzepisowa zmiana pasa ruchu,1
157,744,2001-04-10 00:00:01,21:01,517,Przekroczenie predkosci,10
158,201,2001-05-08 00:00:01,05:11,547,Nieprzepisowa zmiana pasa ruchu,1
159,960,2001-04-12 00:00:01,11:24,928,Gwaltowne hamowanie,1
160,930,2001-01-03 00:00:01,08:44,469,Jazda na zbyt wysokich obrotach,3000
161,517,2001-04-06 00:00:01,12:23,239,Parking w niedozwolonym miejscu,1
162,971,2001-05-15 00:00:01,17:37,471,Gwaltowne hamowanie,1
163,809,2001-02-01 00:00:01,22:10,888,Przekroczenie predkosci,30
164,689,2001-01-07 00:00:01,08:58,795,Parking w niedozwolonym miejscu,1
165,12,2001-05-04 00:00:01,01:09,460,Parking w niedozwolonym miejscu,1
166,140,2001-02-22 00:00:01,02:03,917,Niedostosowanie sie do znaku nakazu/zakazu,1
167,722,2001-05-14 00:00:01,19:03,535,Przekroczenie predkosci,20
168,28,2001-05-06 00:00:01,01:27,879,Parking w niedozwolonym miejscu,1
169,543,2001-05-08 00:00:01,11:12,541,Parking w niedozwolonym miejscu,1
170,147,2001-01-05 00:00:01,01:57,576,Przekroczenie predkosci,40
171,124,2001-02-07 00:00:01,02:48,111,Nieprzepisowa zmiana pasa ruchu,1
172,580,2001-04-08 00:00:01,14:52,663,Nieprzepisowa zmiana pasa ruchu,1
173,970,2001-02-04 00:00:01,02:46,293,Przekroczenie predkosci,50
174,474,2001-03-04 00:00:01,20:25,359,Gwaltowne hamowanie,1
175,64,2001-04-25 00:00:01,00:03,79,Parking w niedozwolonym miejscu,1
176,401,2001-01-17 00:00:01,01:00,226,Nieprzepisowa zmiana pasa ruchu,1
177,786,2001-04-23 00:00:01,09:02,906,Gwaltowne hamowanie,1
178,734,2001-04-05 00:00:01,13:41,842,Parking w niedozwolonym miejscu,1
179,185,2001-04-03 00:00:01,07:14,12,Przekroczenie predkosci,50
180,1000,2001-01-31 00:00:01,02:19,434,Niedostosowanie sie do znaku nakazu/zakazu,1
181,928,2001-06-01 00:00:01,15:52,192,Parking w niedozwolonym miejscu,1
182,11,2001-01-17 00:00:01,10:35,686,Parking w niedozwolonym miejscu,1
183,23,2001-01-05 00:00:01,04:39,638,Nieprzepisowa zmiana pasa ruchu,1
184,87,2001-02-04 00:00:01,03:38,597,Jazda na zbyt wysokich obrotach,3000
185,886,2001-02-11 00:00:01,02:05,301,Parking w niedozwolonym miejscu,1
186,89,2001-04-17 00:00:01,09:13,419,Gwaltowne hamowanie,1
187,381,2001-02-07 00:00:01,08:30,801,Parking w niedozwolonym miejscu,1
188,358,2001-03-02 00:00:01,06:57,178,Jazda na zbyt wysokich obrotach,2000
189,368,2001-03-09 00:00:01,07:05,319,Nieprzepisowa zmiana pasa ruchu,1
190,922,2001-01-26 00:00:01,07:34,526,Jazda na zbyt wysokich obrotach,2500
191,809,2001-02-26 00:00:01,08:28,82,Niedostosowanie sie do znaku nakazu/zakazu,1
192,769,2001-03-29 00:00:01,19:56,581,Jazda na zbyt wysokich obrotach,2000
193,824,2001-01-18 00:00:01,17:10,321,Gwaltowne hamowanie,1
194,45,2001-05-09 00:00:01,18:44,453,Gwaltowne hamowanie,1
195,452,2001-05-18 00:00:01,01:22,636,Parking w niedozwolonym miejscu,1
196,368,2001-03-06 00:00:01,20:40,687,Parking w niedozwolonym miejscu,1
197,86,2001-04-14 00:00:01,17:19,979,Gwaltowne hamowanie,1
198,8,2001-05-13 00:00:01,04:09,444,Przekroczenie predkosci,20
199,411,2001-01-19 00:00:01,08:15,223,Jazda na zbyt wysokich obrotach,2000
200,806,2001-03-04 00:00:01,18:23,720,Niedostosowanie sie do znaku nakazu/zakazu,1
201,344,2001-01-16 00:00:01,09:44,828,Nieprzepisowa zmiana pasa ruchu,1
202,943,2001-05-28 00:00:01,12:38,434,Jazda na zbyt wysokich obrotach,3000
203,69,2001-02-07 00:00:01,21:40,205,Parking w niedozwolonym miejscu,1
204,524,2001-02-25 00:00:01,10:50,938,Niedostosowanie sie do znaku nakazu/zakazu,1
205,250,2001-02-07 00:00:01,05:29,399,Parking w niedozwolonym miejscu,1
206,495,2001-05-04 00:00:01,05:26,345,Niedostosowanie sie do znaku nakazu/zakazu,1
207,47,2001-05-15 00:00:01,06:51,598,Jazda na zbyt wysokich obrotach,1000
208,518,2001-02-26 00:00:01,05:14,811,Przekroczenie predkosci,20
209,645,2001-05-11 00:00:01,00:39,325,Nieprzepisowa zmiana pasa ruchu,1
210,642,2001-01-11 00:00:01,13:58,45,Gwaltowne hamowanie,1
211,317,2001-03-10 00:00:01,22:39,12,Gwaltowne hamowanie,1
212,865,2001-03-14 00:00:01,19:08,352,Gwaltowne hamowanie,1
213,7,2001-05-20 00:00:01,17:44,144,Niedostosowanie sie do znaku nakazu/zakazu,1
214,303,2001-05-01 00:00:01,07:46,445,Nieprzepisowa zmiana pasa ruchu,1
215,88,2001-01-16 00:00:01,19:08,138,Jazda na zbyt wysokich obrotach,3000
216,652,2001-05-29 00:00:01,03:14,205,Niedostosowanie sie do znaku nakazu/zakazu,1
217,754,2001-01-22 00:00:01,14:12,22,Parking w niedozwolonym miejscu,1
218,282,2001-02-05 00:00:01,07:14,65,Przekroczenie predkosci,20
219,800,2001-01-11 00:00:01,00:37,385,Jazda na zbyt wysokich obrotach,1500
220,120,2001-03-28 00:00:01,05:30,880,Parking w niedozwolonym miejscu,1
221,630,2001-04-23 00:00:01,16:48,23,Parking w niedozwolonym miejscu,1
222,437,2001-03-18 00:00:01,11:33,978,Niedostosowanie sie do znaku nakazu/zakazu,1
223,96,2001-05-05 00:00:01,18:18,575,Nieprzepisowa zmiana pasa ruchu,1
224,87,2001-05-11 00:00:01,16:18,355,Nieprzepisowa zmiana pasa ruchu,1
225,324,2001-01-31 00:00:01,06:22,59,Jazda na zbyt wysokich obrotach,2500
226,215,2001-03-22 00:00:01,22:34,453,Przekroczenie predkosci,20
227,968,2001-05-25 00:00:01,13:55,382,Niedostosowanie sie do znaku nakazu/zakazu,1
228,872,2001-04-12 00:00:01,20:56,611,Parking w niedozwolonym miejscu,1
229,845,2001-01-15 00:00:01,01:50,505,Niedostosowanie sie do znaku nakazu/zakazu,1
230,479,2001-05-11 00:00:01,12:45,486,Gwaltowne hamowanie,1
231,421,2001-05-05 00:00:01,19:58,214,Przekroczenie predkosci,30
232,112,2001-02-06 00:00:01,10:49,107,Jazda na zbyt wysokich obrotach,2000
233,396,2001-01-08 00:00:01,06:58,171,Niedostosowanie sie do znaku nakazu/zakazu,1
234,744,2001-03-19 00:00:01,20:06,113,Gwaltowne hamowanie,1
235,53,2001-06-05 00:00:01,22:17,327,Jazda na zbyt wysokich obrotach,3000
236,601,2001-01-13 00:00:01,02:00,505,Gwaltowne hamowanie,1
237,554,2001-05-09 00:00:01,09:34,952,Nieprzepisowa zmiana pasa ruchu,1
238,294,2001-01-28 00:00:01,05:39,501,Nieprzepisowa zmiana pasa ruchu,1
239,362,2001-04-18 00:00:01,08:51,188,Parking w niedozwolonym miejscu,1
240,513,2001-02-19 00:00:01,19:02,867,Niedostosowanie sie do znaku nakazu/zakazu,1
241,403,2001-03-19 00:00:01,12:39,296,Przekroczenie predkosci,50
242,508,2001-04-10 00:00:01,12:12,888,Przekroczenie predkosci,30
243,623,2001-04-09 00:00:01,11:04,266,Jazda na zbyt wysokich obrotach,1500
244,612,2001-04-23 00:00:01,09:52,276,Gwaltowne hamowanie,1
245,226,2001-05-14 00:00:01,05:18,328,Jazda na zbyt wysokich obrotach,1500
246,82,2001-05-25 00:00:01,07:32,467,Parking w niedozwolonym miejscu,1
247,923,2001-05-24 00:00:01,09:31,442,Gwaltowne hamowanie,1
248,733,2001-01-30 00:00:01,17:11,996,Jazda na zbyt wysokich obrotach,1500
249,381,2001-04-04 00:00:01,13:12,361,Niedostosowanie sie do znaku nakazu/zakazu,1
250,901,2001-02-19 00:00:01,13:31,584,Niedostosowanie sie do znaku nakazu/zakazu,1
251,454,2001-01-25 00:00:01,06:19,107,Niedostosowanie sie do znaku nakazu/zakazu,1
252,906,2001-02-19 00:00:01,06:30,734,Niedostosowanie sie do znaku nakazu/zakazu,1
253,61,2001-01-02 00:00:01,16:48,517,Niedostosowanie sie do znaku nakazu/zakazu,1
254,240,2001-05-02 00:00:01,14:27,727,Niedostosowanie sie do znaku nakazu/zakazu,1
255,824,2001-05-27 00:00:01,19:30,67,Nieprzepisowa zmiana pasa ruchu,1
256,372,2001-02-12 00:00:01,19:13,827,Nieprzepisowa zmiana pasa ruchu,1
257,683,2001-03-22 00:00:01,16:43,136,Gwaltowne hamowanie,1
258,726,2001-03-08 00:00:01,10:00,19,Jazda na zbyt wysokich obrotach,1500
259,219,2001-01-10 00:00:01,08:24,975,Jazda na zbyt wysokich obrotach,2000
260,365,2001-04-05 00:00:01,16:36,199,Gwaltowne hamowanie,1
261,555,2001-01-03 00:00:01,20:48,796,Przekroczenie predkosci,10
262,319,2001-03-18 00:00:01,09:58,17,Nieprzepisowa zmiana pasa ruchu,1
263,586,2001-04-24 00:00:01,13:45,260,Niedostosowanie sie do znaku nakazu/zakazu,1
264,13,2001-03-10 00:00:01,00:01,569,Niedostosowanie sie do znaku nakazu/zakazu,1
265,624,2001-02-02 00:00:01,19:17,119,Jazda na zbyt wysokich obrotach,2500
266,483,2001-04-15 00:00:01,23:12,619,Parking w niedozwolonym miejscu,1
267,243,2001-01-31 00:00:01,13:05,309,Przekroczenie predkosci,30
268,277,2001-05-31 00:00:01,10:35,179,Jazda na zbyt wysokich obrotach,1000
269,101,2001-03-23 00:00:01,01:02,396,Jazda na zbyt wysokich obrotach,3000
270,685,2001-05-28 00:00:01,14:49,501,Niedostosowanie sie do znaku nakazu/zakazu,1
271,590,2001-03-22 00:00:01,05:39,838,Parking w niedozwolonym miejscu,1
272,808,2001-04-22 00:00:01,14:01,206,Jazda na zbyt wysokich obrotach,2000
273,447,2001-01-02 00:00:01,05:12,675,Nieprzepisowa zmiana pasa ruchu,1
274,790,2001-06-03 00:00:01,00:23,972,Gwaltowne hamowanie,1
275,881,2001-05-12 00:00:01,19:31,219,Nieprzepisowa zmiana pasa ruchu,1
276,604,2001-04-06 00:00:01,05:50,732,Gwaltowne hamowanie,1
277,281,2001-03-13 00:00:01,04:37,288,Jazda na zbyt wysokich obrotach,2000
278,764,2001-05-09 00:00:01,21:38,358,Gwaltowne hamowanie,1
279,695,2001-04-09 00:00:01,04:45,329,Parking w niedozwolonym miejscu,1
280,365,2001-03-05 00:00:01,00:23,994,Gwaltowne hamowanie,1
281,604,2001-05-08 00:00:01,13:29,176,Gwaltowne hamowanie,1
282,69,2001-02-22 00:00:01,08:54,81,Gwaltowne hamowanie,1
283,270,2001-01-31 00:00:01,22:14,647,Gwaltowne hamowanie,1
284,921,2001-04-22 00:00:01,11:51,43,Gwaltowne hamowanie,1
285,863,2001-02-14 00:00:01,00:19,60,Jazda na zbyt wysokich obrotach,2500
286,308,2001-05-28 00:00:01,12:52,81,Nieprzepisowa zmiana pasa ruchu,1
287,575,2001-04-26 00:00:01,14:45,864,Nieprzepisowa zmiana pasa ruchu,1
288,102,2001-05-16 00:00:01,00:21,124,Nieprzepisowa zmiana pasa ruchu,1
289,336,2001-01-24 00:00:01,01:45,783,Przekroczenie predkosci,30
290,518,2001-03-18 00:00:01,16:51,482,Parking w niedozwolonym miejscu,1
291,474,2001-04-26 00:00:01,22:40,613,Przekroczenie predkosci,50
292,148,2001-02-26 00:00:01,09:35,48,Niedostosowanie sie do znaku nakazu/zakazu,1
293,939,2001-02-08 00:00:01,06:04,184,Niedostosowanie sie do znaku nakazu/zakazu,1
294,315,2001-06-04 00:00:01,02:13,345,Przekroczenie predkosci,20
295,707,2001-02-04 00:00:01,05:13,151,Przekroczenie predkosci,20
296,251,2001-03-09 00:00:01,11:10,881,Gwaltowne hamowanie,1
297,912,2001-04-03 00:00:01,08:35,8,Jazda na zbyt wysokich obrotach,2000
298,322,2001-05-11 00:00:01,21:10,507,Nieprzepisowa zmiana pasa ruchu,1
299,277,2001-06-03 00:00:01,13:47,607,Parking w niedozwolonym miejscu,1
300,608,2001-04-29 00:00:01,05:04,729,Parking w niedozwolonym miejscu,1
301,395,2001-04-22 00:00:01,03:59,244,Nieprzepisowa zmiana pasa ruchu,1
302,89,2001-01-18 00:00:01,21:27,32,Nieprzepisowa zmiana pasa ruchu,1
303,160,2001-02-07 00:00:01,21:48,422,Jazda na zbyt wysokich obrotach,1500
304,731,2001-01-22 00:00:01,21:30,225,Gwaltowne hamowanie,1
305,409,2001-02-20 00:00:01,03:44,393,Parking w niedozwolonym miejscu,1
306,419,2001-02-25 00:00:01,16:02,12,Jazda na zbyt wysokich obrotach,1000
307,920,2001-05-02 00:00:01,17:07,892,Gwaltowne hamowanie,1
308,168,2001-04-28 00:00:01,22:17,588,Gwaltowne hamowanie,1
309,366,2001-02-27 00:00:01,15:37,276,Nieprzepisowa zmiana pasa ruchu,1
310,273,2001-05-23 00:00:01,13:01,845,Przekroczenie predkosci,30
311,648,2001-05-17 00:00:01,09:20,611,Parking w niedozwolonym miejscu,1
312,773,2001-03-07 00:00:01,16:53,497,Nieprzepisowa zmiana pasa ruchu,1
313,681,2001-05-23 00:00:01,08:03,847,Nieprzepisowa zmiana pasa ruchu,1
314,967,2001-04-19 00:00:01,10:06,128,Parking w niedozwolonym miejscu,1
315,451,2001-04-15 00:00:01,05:37,468,Przekroczenie predkosci,20
316,696,2001-03-11 00:00:01,15:01,380,Gwaltowne hamowanie,1
317,383,2001-03-27 00:00:01,15:20,716,Nieprzepisowa zmiana pasa ruchu,1
318,782,2001-02-02 00:00:01,22:41,3,Parking w niedozwolonym miejscu,1
319,145,2001-05-04 00:00:01,23:52,485,Przekroczenie predkosci,20
320,604,2001-05-30 00:00:01,20:28,479,Jazda na zbyt wysokich obrotach,3000
321,824,2001-01-18 00:00:01,18:17,651,Niedostosowanie sie do znaku nakazu/zakazu,1
322,191,2001-01-13 00:00:01,10:31,183,Nieprzepisowa zmiana pasa ruchu,1
323,491,2001-05-28 00:00:01,14:53,992,Gwaltowne hamowanie,1
324,439,2001-02-21 00:00:01,07:58,948,Parking w niedozwolonym miejscu,1
325,265,2001-04-12 00:00:01,09:36,326,Jazda na zbyt wysokich obrotach,1500
326,761,2001-05-08 00:00:01,09:34,658,Jazda na zbyt wysokich obrotach,1000
327,910,2001-04-11 00:00:01,15:17,729,Niedostosowanie sie do znaku nakazu/zakazu,1
