ID,ID_przejazdu,Data,Godzina,Miejsce,Typ,Odchył_od_poprawnej_wartości
53,72,02/04/2001,10:23,15,Gwałtowne hamowanie,1
54,71,22/05/2001,13:52,9,Parking w niedozwolonym miejscu,1
55,20,24/05/2001,02:38,85,Niedostosowanie się do znaku nakazu/zakazu,1
56,83,28/02/2001,13:18,100,Parking w niedozwolonym miejscu,1
57,14,28/02/2001,07:08,90,Parking w niedozwolonym miejscu,1
58,67,09/07/2001,13:21,80,Jazda na zbyt wysokich obrotach,1500
59,32,11/07/2001,02:52,70,Parking w niedozwolonym miejscu,1
60,70,06/02/2001,12:14,70,Gwałtowne hamowanie,1
61,49,19/04/2001,06:21,4,Nieprzepisowa zmiana pasa ruchu,1
62,59,09/11/2001,22:43,1,Parking w niedozwolonym miejscu,1
63,73,10/12/2001,12:08,57,Nieprzepisowa zmiana pasa ruchu,1
64,16,01/03/2001,05:34,62,Niedostosowanie się do znaku nakazu/zakazu,1
65,22,23/08/2001,14:57,42,Przekroczenie prędkości,20
66,27,11/04/2001,07:40,75,Niedostosowanie się do znaku nakazu/zakazu,1
67,69,31/05/2001,00:16,71,Jazda na zbyt wysokich obrotach,1500
68,48,25/08/2001,11:44,100,Gwałtowne hamowanie,1
69,58,02/07/2001,01:41,55,Przekroczenie prędkości,20
70,32,31/12/2001,02:16,14,Nieprzepisowa zmiana pasa ruchu,1
71,71,03/03/2001,23:16,82,Gwałtowne hamowanie,1
72,7,12/09/2001,16:51,44,Jazda na zbyt wysokich obrotach,1000
73,60,25/04/2001,19:36,84,Niedostosowanie się do znaku nakazu/zakazu,1
74,74,30/12/2001,11:02,24,Parking w niedozwolonym miejscu,1
75,58,26/12/2001,17:06,62,Niedostosowanie się do znaku nakazu/zakazu,1
76,99,08/11/2001,13:24,57,Jazda na zbyt wysokich obrotach,1000
77,6,01/04/2001,10:16,90,Przekroczenie prędkości,50
78,76,13/10/2001,10:54,24,Przekroczenie prędkości,10
79,24,29/05/2001,23:57,30,Przekroczenie prędkości,40
80,83,14/05/2001,10:38,55,Niedostosowanie się do znaku nakazu/zakazu,1
81,65,31/03/2001,14:08,17,Niedostosowanie się do znaku nakazu/zakazu,1
82,72,27/07/2001,08:40,31,Niedostosowanie się do znaku nakazu/zakazu,1
83,80,04/03/2001,23:12,17,Niedostosowanie się do znaku nakazu/zakazu,1
84,70,29/05/2001,17:47,40,Nieprzepisowa zmiana pasa ruchu,1
85,71,24/04/2001,15:08,97,Przekroczenie prędkości,40
86,7,22/10/2001,06:33,72,Parking w niedozwolonym miejscu,1
87,20,26/05/2001,04:26,19,Przekroczenie prędkości,10
88,92,20/07/2001,02:43,48,Parking w niedozwolonym miejscu,1
89,6,01/10/2001,20:57,21,Niedostosowanie się do znaku nakazu/zakazu,1
90,100,12/10/2001,10:27,38,Niedostosowanie się do znaku nakazu/zakazu,1
91,52,16/10/2001,05:37,56,Jazda na zbyt wysokich obrotach,2500
92,4,21/06/2001,13:22,95,Niedostosowanie się do znaku nakazu/zakazu,1
93,26,22/08/2001,19:18,48,Nieprzepisowa zmiana pasa ruchu,1
94,77,03/08/2001,11:55,69,Nieprzepisowa zmiana pasa ruchu,1
95,68,25/10/2001,14:55,76,Parking w niedozwolonym miejscu,1
96,90,11/03/2001,16:28,67,Parking w niedozwolonym miejscu,1
97,17,12/04/2001,15:47,28,Niedostosowanie się do znaku nakazu/zakazu,1
98,35,31/07/2001,15:17,81,Gwałtowne hamowanie,1
99,26,17/09/2001,17:41,86,Przekroczenie prędkości,30
